Date	Company	Size(MB)	Cost(USD)	USD/GB
1980 January 1	Morrow Designs	26	5000	193000
1980 July 1	North Star	18	4199	233000
1981 September 1	Apple	5	3500	700000
1981 November 1	Seagate	5	1700	340000
1981 December 1	VR Data Corp.	6.3	2895	460000
1981 December 1	Morrow Designs	10	2999	300000
1981 December 1	Morrow Designs	10	2949	295000
1981 December 1	VR Data Corp.	19	5495	289000
1981 December 1	Morrow Designs	20	3829	191000
1981 December 1	Morrow Designs	26	3949	152000
1981 December 1	Morrow Designs	26	3599	138000
1982 March 1	Xebec			260000
1983 December 1	Corvus	6	1895	316000
1983 December 1	Corvus	10	2695	270000
1983 December 1	Xcomp	10	1895	190000
1983 December 1	Corvus	20	3495	175000
1983 December 1	Davong	10	1650	165000
1983 December 1	Xcomp	16	2095	131000
1983 December 1	Davong	21	2495	119000
1984 March 1	Percom/Tandon	5	1399	280000
1984 March 1		5	1349	270000
1984 March 1	Percom/Tandon	10	1699	170000
1984 March 1		10	1599	160000
1984 March 1	Percom/Tandon	15	2095	140000
1984 March 1		15	1999	133000
1984 March 1	Percom/Tandon	20	2399	120000
1984 March 1		20	2359	118000
1984 May 1	Tecmar	5	1495	299000
1984 May 1	Corvus	6	1695	283000
1984 May 1	Corvus	11	2350	214000
1984 May 1	Comrex	10	1995	200000
1984 May 1	CTI	11	1995	181000
1984 May 1	Davong	10	1645	165000
1984 May 1	Corvus	20	3150	158000
1984 May 1	Davong	15	2095	140000
1984 May 1	Davong	21	2495	119000
1984 May 1	Pegasus (Great Lakes)	10	1075	108000
1984 May 1	Pegasus (Great Lakes)	23	1845	80000
1985 July 1	First Class Peripherals	10	710	71000
1987 October 1	Iomega	10	899	90000
1987 October 1	Iomega	20	1199	60000
1987 October 1	Iomega	40	1799	45000
1988 May 1		20	799	40000
1988 May 1		30	995	33000
1988 May 1		45	1195	27000
1988 May 1		60	1795	30000
1988 May 1		250	3995	16000
1989 March 1	Western Digital	20	899	53000
1989 March 1	Western Digital	40	1199	36000
1989 September 1				12000
1990 September 1				9000
1991 September 1				7000
1992 September 1				4000
1993 September 1				2000
1994 September 1				950
1995 January 1	Seagate	1000	849	850
1995 January 1	Seagate	1700	1499	880
1995 January 1	Seagate	2100	1699	810
1995 January 1	Seagate	2900	2899	990
1995 April 1		240	250	1260
1995 April 1		420	320	922
1995 April 1		520	380	884
1995 April 1		850	470	669
1995 April 1		1000	625	756
1995 April 1		1200	680	686
1996 June 10	Western Digital	1600	399.99	295
1996 August 14	IBM	1760	379.99	263
1996 August 14	Maxtor	2000	439.99	259
1996 September 1	Quantum	2500	440	207
1996 September 1	Quantum	3200	469	173
1997 August 13	Western Digital	2100	329.99	181
1997 August 13	Western Digital	3100	399.99	148
1997 August 13	Western Digital	4000	490.99	141
1997 August 24	Western Digital	2100	279.99	153
1997 August 24	Western Digital	3100	329.99	122
1997 August 24	Maxtor	3500	359.99	118
1997 August 24	Maxtor	4300	439.99	118
1997 August 24	Western Digital	5100	459.99	104
1997 September 5	Maxtor	7000	669.99	110
1997 November 29	Western Digital	3200	289	104
1997 November 29	Quantum	3200	285	102
1997 November 29	Quantum	4300	379	101
1997 November 29	Western Digital	4300	365	97.60
1997 November 29	Quantum	6400	475	85.40
1997 November 29	Western Digital	6400	445	80
1997 December 3	Western Digital	5100	449.99	101
1997 December 3	Quantum	6400	549.99	98.80
1997 December 3	Maxtor	5200	438.99	97.10
1997 December 3	Maxtor	7000	579.99	95.30
1997 December 3	Maxtor	8400	679.99	93.10
1998 January 16	Western Digital	6400	529.99	95.20
1998 January 16	Quantum	4300	349.99	93.60
1998 January 16	Quantum	6400	479.99	86.30
1998 January 16	Maxtor	8400		83.90
1998 February 3		5200	355	78.50
1998 February 3		6400	435	78.20
1998 April 2	Maxtor	5100	379.99	85.70
1998 April 2	Maxtor	4300	319.99	85.60
1998 April 2	Western Digital	6400		74.30
1998 April 2	Quantum	6400	339.99	61.10
1998 April 4		5200	349	77.20
1998 April 4	Maxtor	4300		76.30
1998 April 4		6400	370	66.50
1998 April 4		5200	300	66.30
1998 April 4		9000	499	63.80
1998 April 17	Fujitsu	4300	282	75.40
1998 April 17	Fujitsu	5200	331	73.20
1998 April 17	Fujitsu	6400	368	66.10
1998 May 2	Seagate	6400	349.99	62.90
1998 May 9	Seagate	6400	329.99	59.30
1998 May 11	Fujitsu	3200	227	81.60
1998 May 11	Fujitsu	4300	257	68.70
1998 May 11	Fujitsu	5200	299	66.10
1998 May 11	Fujitsu	6400	328	58.90
1998 June 6	Maxtor	5700	299.99	60.50
1998 June 12	Quantum	4300	228	61
1998 June 12	Quantum	6400	298	53.50
1998 July 15		5200	249	55.10
1998 July 31	Western Digital IDE	5100	262	59.10
1998 July 31	Fujitsu IDE	5200	252	55.70
1998 July 31	Western Digital IDE	6400	294	52.80
1998 July 31	Western Digital IDE	8400	382	52.30
1998 July 31	Fujitsu IDE	6400	291	52.30
1998 August 1	Western Digital EIDE	4000		54.60
1998 August 6	Western Digital EIDE	5100		46.40
1998 August 14	Fujitsu	6400	289	51.90
1998 August 26	Seagate	6400	279.99	50.30
1998 September 1	Maxtor UDMA	8400	379.99	52
1998 September 1	Maxtor UDMA	6800	279.99	47.40
1998 September 10	Western Digital EIDE	5100		47.90
1998 October 1	Quantum	6400		42.60
1999 February 12	Quantum	8000	299.99	43.10
1999 February 26	Maxtor	8400		37.70
1999 February 26	Quantum	8000		36.50
1999 February 27	Quantum	19200	512.46	30.70
1999 March 1	Fujitsu Ultra DMA	8400	253	34.60
1999 March 1	Fujitsu Ultra DMA	10200	299	33.70
1999 March 3	Fujitsu Ultra DMA	8400	235	32.20
1999 March 3	Fujitsu Ultra DMA	10200	285	32.10
1999 April 1	Fujitsu UDMA	10200	279	31.50
1999 April 1	Fujitsu UDMA	8400	229	31.40
1999 May 21	Fujitsu UDMA	6400	179.99	32.30
1999 May 27	Fujitsu UDMA	10200	245	27.60
1999 May 27	Fujitsu UDMA	8400	198	27.10
1999 May 27	Fujitsu UDMA	17300	369	24.50
1999 May 28	Maxtor UDMA	10000	249.99	28.80
1999 July 21	Maxtor Ultra DMA	8400	199.99	27.40
1999 July 30	Fujitsu UDMA	6400	139.99	26.30
1999 September 25		10200		18.50
