Country,lowername,City,Region,Population,Latitude,Longitude
us,abbott,Abbott,CA,,39.0205556,-121.6244444
us,aberdeen,Aberdeen,CA,,36.9780556,-118.2525
us,abilene,Abilene,CA,,36.1455556,-119.0527778
us,abrams lake mobile estates,Abrams Lake Mobile Estates,CA,,41.3380556,-122.3541667
us,acampo,Acampo,CA,,38.1747222,-121.2775
us,accent homes mobile home park,Accent Homes Mobile Home Park,CA,,37.43,-122.4291667
us,acebedo,Acebedo,CA,,35.8319444,-120.2008333
us,acolita,Acolita,CA,,33.0711111,-115.1838889
us,acorn,Acorn,CA,,34.6527778,-120.4922222
us,actis,Actis,CA,,34.9586111,-118.1477778
us,acton,Acton,CA,,34.47,-118.1958333
us,adams,Adams,CA,,38.8563889,-122.7186111
us,adams square,Adams Square,CA,,34.1336111,-118.2402778
us,adams station,Adams Station,CA,,41.8427778,-123.9913889
us,adela,Adela,CA,,37.7886111,-120.8622222
us,adelaida,Adelaida,CA,,35.6455556,-120.8725
us,adelanto,Adelanto,CA,21955,34.5827778,-117.4083333
us,adin,Adin,CA,,41.1938889,-120.9441667
us,adobe corner,Adobe Corner,CA,,37.4261111,-122.2652778
us,advance,Advance,CA,,36.5158333,-118.9016667
us,aerial acres,Aerial Acres,CA,,35.0877778,-117.7911111
us,aetna springs,Aetna Springs,CA,,38.6536111,-122.4816667
us,afton,Afton,CA,,39.42,-121.9652778
us,ager,Ager,CA,,41.8663889,-122.4594444
us,agnew,Agnew,CA,,37.3947222,-121.9580556
us,agoura,Agoura,CA,,34.1430556,-118.7369444
us,agoura hills,Agoura Hills,CA,22222,34.1363889,-118.7736111
us,agra,Agra,CA,,33.3333333,-117.4991667
us,agua caliente,Agua Caliente,CA,,38.3241667,-122.4869444
us,agua dulce,Agua Dulce,CA,,34.4963889,-118.3247222
us,agua fria,Agua Fria,CA,,37.485,-120.0191667
us,aguanga,Aguanga,CA,,33.4427778,-116.8641667
us,ahwahnee,Ahwahnee,CA,,37.3655556,-119.7252778
us,ahwahnee estates,Ahwahnee Estates,CA,,37.3708333,-119.7027778
us,ainsworth corner,Ainsworth Corner,CA,,41.9986111,-121.5586111
us,akers,Akers,CA,,37.9983333,-121.2825
us,al tahoe,Al Tahoe,CA,,38.9419444,-119.9825
us,alabama hill,Alabama Hill,CA,,38.355,-120.5908333
us,alabama hills,Alabama Hills,CA,,36.5677778,-118.0888889
us,alameda,Alameda,CA,70443,37.7652778,-122.2405556
us,alamitos,Alamitos,CA,,37.2505556,-121.8661111
us,alamo,Alamo,CA,17764,37.8502778,-122.0311111
us,alamo oaks,Alamo Oaks,CA,,37.8394444,-121.9919444
us,alamorio,Alamorio,CA,,32.9791667,-115.4605556
us,alba,Alba,CA,,37.7980556,-121.0386111
us,albany,Albany,CA,16144,37.8869444,-122.2966667
us,alberhill,Alberhill,CA,,33.7272222,-117.3988889
us,albion,Albion,CA,,39.2236111,-123.7675
us,albrae,Albrae,CA,,37.4955556,-121.9883333
us,alder creek,Alder Creek,CA,,38.6347222,-121.2005556
us,alder springs,Alder Springs,CA,,37.0661111,-119.4011111
us,aldercroft heights,Aldercroft Heights,CA,,37.1608333,-121.9677778
us,alderglen springs,Alderglen Springs,CA,,38.8352778,-123.0516667
us,alderpoint,Alderpoint,CA,,40.1763889,-123.6105556
us,alemandra,Alemandra,CA,,39.1488889,-121.6869444
us,alessandro,Alessandro,CA,,33.8861111,-117.2694444
us,alford place,Alford Place,CA,,40.2183333,-122.6655556
us,algerine,Algerine,CA,,37.9111111,-120.3822222
us,algoso,Algoso,CA,,35.3597222,-118.9241667
us,alhambra,Alhambra,CA,88386,34.0952778,-118.1261111
us,alicia,Alicia,CA,,39.1027778,-121.5805556
